julian_day,temperature
2442283,1361.0813 
2442284,1361.2541 
2442285,1361.0907 
2442286,1361.1308 
2442287,1361.1251 
2442288,1361.0325 
2442289,1361.0995 
2442290,1361.1784 
2442291,1361.1929 
2442292,1361.1981 
2442293,1361.2038 
2442294,1361.1725 
2442295,1361.1552 
2442296,1361.1269 
2442297,1361.1257 
2442298,1361.1808 
2442299,1361.2151 
2442300,1361.1483 
2442301,1360.9699 
2442302,1360.8380 
2442303,1360.7496 
2442304,1360.7621 
2442305,1360.7917 
2442306,1360.9662 
2442307,1360.8393 
2442308,1361.0081 
2442309,1361.0355 
2442310,1361.1031 
2442311,1361.1431 
2442312,1361.2121 
2442313,1361.2395 
2442314,1361.2071 
2442315,1361.1649 
2442316,1361.1356 
2442317,1361.1587 
2442318,1361.1954 
2442319,1361.2493 
2442320,1361.1724 
2442321,1361.0823 
2442322,1361.0261 
2442323,1361.0345 
2442324,1361.0623 
2442325,1361.0915 
2442326,1361.1570 
2442327,1361.0765 
2442328,1361.1200 
2442329,1360.9993 
2442330,1361.0473 
2442331,1360.9021 
2442332,1360.9321 
2442333,1360.7701 
2442334,1360.9473 
2442335,1360.9977 
2442336,1361.1509 
2442337,1361.1732 
2442338,1361.2109 
2442339,1361.2591 
2442340,1361.2303 
2442341,1361.1945 
2442342,1361.1660 
2442343,1361.1766 
2442344,1361.1983 
2442345,1361.1932 
2442346,1361.1996 
2442347,1361.1874 
2442348,1361.1912 
2442349,1361.1764 
2442350,1361.1921 
2442351,1361.1870 
2442352,1361.2566 
2442353,1361.2710 
2442354,1361.2722 
2442355,1361.2571 
2442356,1361.3393 
2442357,1361.3400 
2442358,1361.3286 
2442359,1361.2831 
2442360,1361.2475 
2442361,1361.1831 
2442362,1361.1965 
2442363,1361.2143 
2442364,1361.1716 
2442365,1361.1953 
2442366,1361.2095 
2442367,1361.1446 
2442368,1361.0713 
2442369,1361.0234 
2442370,1360.9669 
2442371,1360.9529 
2442372,1360.9883 
2442373,1360.8858 
2442374,1361.0018 
2442375,1360.9291 
2442376,1361.0574 
2442377,1361.0755 
2442378,1361.1351 
2442379,1361.1649 
2442380,1361.2136 
2442381,1361.2015 
2442382,1361.1879 
2442383,1361.1710 
2442384,1361.1611 
2442385,1361.0877 
2442386,1361.0857 
2442387,1361.0985 
2442388,1361.0902 
2442389,1361.0803 
2442390,1361.0720 
2442391,1361.0720 
2442392,1361.0969 
2442393,1361.0403 
2442394,1361.0167 
2442395,1360.9438 
2442396,1360.8591 
2442397,1360.9148 
2442398,1360.8637 
2442399,1360.9669 
2442400,1360.9877 
2442401,1360.9550 
2442402,1360.9189 
2442403,1360.9621 
2442404,1360.9635 
2442405,1361.0174 
2442406,1361.0587 
2442407,1361.0918 
2442408,1361.0803 
2442409,1361.0821 
2442410,1361.0426 
2442411,1361.0612 
2442412,1361.0440 
2442413,1361.0491 
2442414,1360.9699 
2442415,1361.0347 
2442416,1361.0013 
2442417,1361.0176 
2442418,1361.2058 
2442419,1361.0159 
2442420,1361.0311 
2442421,1361.0180 
2442422,1361.0548 
2442423,1360.9685 
2442424,1360.9794 
2442425,1360.9512 
2442426,1360.9588 
2442427,1360.9568 
2442428,1360.9512 
2442429,1360.9658 
2442430,1360.9724 
2442431,1360.9741 
2442432,1360.9602 
2442433,1360.9866 
2442434,1361.0189 
2442435,1361.0230 
2442436,1361.0288 
2442437,1361.0207 
2442438,1361.0099 
2442439,1361.0028 
2442440,1361.0037 
2442441,1360.9862 
2442442,1361.0024 
