julian_day,temperature,date
2442283,1361.0813,1974-08-23 12:00:00
2442284,1361.2541,1974-08-24 12:00:00
2442285,1361.0907,1974-08-25 12:00:00
2442286,1361.1308,1974-08-26 12:00:00
2442287,1361.1251,1974-08-27 12:00:00
2442288,1361.0325,1974-08-28 12:00:00
2442289,1361.0995,1974-08-29 12:00:00
2442290,1361.1784,1974-08-30 12:00:00
2442291,1361.1929,1974-08-31 12:00:00
2442292,1361.1981,1974-09-01 12:00:00
2442293,1361.2038,1974-09-02 12:00:00
2442294,1361.1725,1974-09-03 12:00:00
2442295,1361.1552,1974-09-04 12:00:00
2442296,1361.1269,1974-09-05 12:00:00
2442297,1361.1257,1974-09-06 12:00:00
2442298,1361.1808,1974-09-07 12:00:00
2442299,1361.2151,1974-09-08 12:00:00
2442300,1361.1483,1974-09-09 12:00:00
2442301,1360.9699,1974-09-10 12:00:00
2442302,1360.838,1974-09-11 12:00:00
2442303,1360.7496,1974-09-12 12:00:00
2442304,1360.7621,1974-09-13 12:00:00
2442305,1360.7917,1974-09-14 12:00:00
2442306,1360.9662,1974-09-15 12:00:00
2442307,1360.8393,1974-09-16 12:00:00
2442308,1361.0081,1974-09-17 12:00:00
2442309,1361.0355,1974-09-18 12:00:00
2442310,1361.1031,1974-09-19 12:00:00
2442311,1361.1431,1974-09-20 12:00:00
2442312,1361.2121,1974-09-21 12:00:00
2442313,1361.2395,1974-09-22 12:00:00
2442314,1361.2071,1974-09-23 12:00:00
2442315,1361.1649,1974-09-24 12:00:00
2442316,1361.1356,1974-09-25 12:00:00
2442317,1361.1587,1974-09-26 12:00:00
2442318,1361.1954,1974-09-27 12:00:00
2442319,1361.2493,1974-09-28 12:00:00
2442320,1361.1724,1974-09-29 12:00:00
2442321,1361.0823,1974-09-30 12:00:00
2442322,1361.0261,1974-10-01 12:00:00
2442323,1361.0345,1974-10-02 12:00:00
2442324,1361.0623,1974-10-03 12:00:00
2442325,1361.0915,1974-10-04 12:00:00
2442326,1361.157,1974-10-05 12:00:00
2442327,1361.0765,1974-10-06 12:00:00
2442328,1361.12,1974-10-07 12:00:00
2442329,1360.9993,1974-10-08 12:00:00
2442330,1361.0473,1974-10-09 12:00:00
2442331,1360.9021,1974-10-10 12:00:00
2442332,1360.9321,1974-10-11 12:00:00
2442333,1360.7701,1974-10-12 12:00:00
2442334,1360.9473,1974-10-13 12:00:00
2442335,1360.9977,1974-10-14 12:00:00
2442336,1361.1509,1974-10-15 12:00:00
2442337,1361.1732,1974-10-16 12:00:00
2442338,1361.2109,1974-10-17 12:00:00
2442339,1361.2591,1974-10-18 12:00:00
2442340,1361.2303,1974-10-19 12:00:00
2442341,1361.1945,1974-10-20 12:00:00
2442342,1361.166,1974-10-21 12:00:00
2442343,1361.1766,1974-10-22 12:00:00
2442344,1361.1983,1974-10-23 12:00:00
2442345,1361.1932,1974-10-24 12:00:00
2442346,1361.1996,1974-10-25 12:00:00
2442347,1361.1874,1974-10-26 12:00:00
2442348,1361.1912,1974-10-27 12:00:00
2442349,1361.1764,1974-10-28 12:00:00
2442350,1361.1921,1974-10-29 12:00:00
2442351,1361.187,1974-10-30 12:00:00
2442352,1361.2566,1974-10-31 12:00:00
2442353,1361.271,1974-11-01 12:00:00
2442354,1361.2722,1974-11-02 12:00:00
2442355,1361.2571,1974-11-03 12:00:00
2442356,1361.3393,1974-11-04 12:00:00
2442357,1361.34,1974-11-05 12:00:00
2442358,1361.3286,1974-11-06 12:00:00
2442359,1361.2831,1974-11-07 12:00:00
2442360,1361.2475,1974-11-08 12:00:00
2442361,1361.1831,1974-11-09 12:00:00
2442362,1361.1965,1974-11-10 12:00:00
2442363,1361.2143,1974-11-11 12:00:00
2442364,1361.1716,1974-11-12 12:00:00
2442365,1361.1953,1974-11-13 12:00:00
2442366,1361.2095,1974-11-14 12:00:00
2442367,1361.1446,1974-11-15 12:00:00
2442368,1361.0713,1974-11-16 12:00:00
2442369,1361.0234,1974-11-17 12:00:00
2442370,1360.9669,1974-11-18 12:00:00
2442371,1360.9529,1974-11-19 12:00:00
2442372,1360.9883,1974-11-20 12:00:00
2442373,1360.8858,1974-11-21 12:00:00
2442374,1361.0018,1974-11-22 12:00:00
2442375,1360.9291,1974-11-23 12:00:00
2442376,1361.0574,1974-11-24 12:00:00
2442377,1361.0755,1974-11-25 12:00:00
2442378,1361.1351,1974-11-26 12:00:00
2442379,1361.1649,1974-11-27 12:00:00
2442380,1361.2136,1974-11-28 12:00:00
2442381,1361.2015,1974-11-29 12:00:00
2442382,1361.1879,1974-11-30 12:00:00
2442383,1361.171,1974-12-01 12:00:00
2442384,1361.1611,1974-12-02 12:00:00
2442385,1361.0877,1974-12-03 12:00:00
2442386,1361.0857,1974-12-04 12:00:00
2442387,1361.0985,1974-12-05 12:00:00
2442388,1361.0902,1974-12-06 12:00:00
2442389,1361.0803,1974-12-07 12:00:00
2442390,1361.072,1974-12-08 12:00:00
2442391,1361.072,1974-12-09 12:00:00
2442392,1361.0969,1974-12-10 12:00:00
2442393,1361.0403,1974-12-11 12:00:00
2442394,1361.0167,1974-12-12 12:00:00
2442395,1360.9438,1974-12-13 12:00:00
2442396,1360.8591,1974-12-14 12:00:00
2442397,1360.9148,1974-12-15 12:00:00
2442398,1360.8637,1974-12-16 12:00:00
2442399,1360.9669,1974-12-17 12:00:00
2442400,1360.9877,1974-12-18 12:00:00
2442401,1360.955,1974-12-19 12:00:00
2442402,1360.9189,1974-12-20 12:00:00
2442403,1360.9621,1974-12-21 12:00:00
2442404,1360.9635,1974-12-22 12:00:00
2442405,1361.0174,1974-12-23 12:00:00
2442406,1361.0587,1974-12-24 12:00:00
2442407,1361.0918,1974-12-25 12:00:00
2442408,1361.0803,1974-12-26 12:00:00
2442409,1361.0821,1974-12-27 12:00:00
2442410,1361.0426,1974-12-28 12:00:00
2442411,1361.0612,1974-12-29 12:00:00
2442412,1361.044,1974-12-30 12:00:00
2442413,1361.0491,1974-12-31 12:00:00
2442414,1360.9699,1975-01-01 12:00:00
2442415,1361.0347,1975-01-02 12:00:00
2442416,1361.0013,1975-01-03 12:00:00
2442417,1361.0176,1975-01-04 12:00:00
2442418,1361.2058,1975-01-05 12:00:00
2442419,1361.0159,1975-01-06 12:00:00
2442420,1361.0311,1975-01-07 12:00:00
2442421,1361.018,1975-01-08 12:00:00
2442422,1361.0548,1975-01-09 12:00:00
2442423,1360.9685,1975-01-10 12:00:00
2442424,1360.9794,1975-01-11 12:00:00
2442425,1360.9512,1975-01-12 12:00:00
2442426,1360.9588,1975-01-13 12:00:00
2442427,1360.9568,1975-01-14 12:00:00
2442428,1360.9512,1975-01-15 12:00:00
2442429,1360.9658,1975-01-16 12:00:00
2442430,1360.9724,1975-01-17 12:00:00
2442431,1360.9741,1975-01-18 12:00:00
2442432,1360.9602,1975-01-19 12:00:00
2442433,1360.9866,1975-01-20 12:00:00
2442434,1361.0189,1975-01-21 12:00:00
2442435,1361.023,1975-01-22 12:00:00
2442436,1361.0288,1975-01-23 12:00:00
2442437,1361.0207,1975-01-24 12:00:00
2442438,1361.0099,1975-01-25 12:00:00
2442439,1361.0028,1975-01-26 12:00:00
2442440,1361.0037,1975-01-27 12:00:00
2442441,1360.9862,1975-01-28 12:00:00
2442442,1361.0024,1975-01-29 12:00:00
2442443,1360.9884,1975-01-30 12:00:00
2442444,1361.0037,1975-01-31 12:00:00
2442445,1360.9817,1975-02-01 12:00:00
2442446,1361.0167,1975-02-02 12:00:00
2442447,1360.9909,1975-02-03 12:00:00
2442448,1361.0083,1975-02-04 12:00:00
2442449,1361.0296,1975-02-05 12:00:00
2442450,1361.0123,1975-02-06 12:00:00
2442451,1360.9134,1975-02-07 12:00:00
2442452,1360.884,1975-02-08 12:00:00
2442453,1361.0915,1975-02-09 12:00:00
2442454,1360.8873,1975-02-10 12:00:00
2442455,1360.9574,1975-02-11 12:00:00
2442456,1360.9509,1975-02-12 12:00:00
2442457,1360.9726,1975-02-13 12:00:00
2442458,1360.9694,1975-02-14 12:00:00
2442459,1360.9852,1975-02-15 12:00:00
2442460,1361.0422,1975-02-16 12:00:00
2442461,1360.9498,1975-02-17 12:00:00
2442462,1360.9742,1975-02-18 12:00:00
2442463,1360.9744,1975-02-19 12:00:00
2442464,1360.9727,1975-02-20 12:00:00
2442465,1360.9635,1975-02-21 12:00:00
2442466,1360.9644,1975-02-22 12:00:00
2442467,1360.9536,1975-02-23 12:00:00
2442468,1361.0384,1975-02-24 12:00:00
2442469,1360.9266,1975-02-25 12:00:00
2442470,1360.9645,1975-02-26 12:00:00
2442471,1360.9645,1975-02-27 12:00:00
2442472,1360.9644,1975-02-28 12:00:00
2442473,1360.9741,1975-03-01 12:00:00
2442474,1360.9129,1975-03-02 12:00:00
2442475,1360.9605,1975-03-03 12:00:00
2442476,1360.9734,1975-03-04 12:00:00
2442477,1360.9677,1975-03-05 12:00:00
2442478,1360.9913,1975-03-06 12:00:00
2442479,1360.985,1975-03-07 12:00:00
2442480,1360.9812,1975-03-08 12:00:00
2442481,1360.9723,1975-03-09 12:00:00
2442482,1360.9719,1975-03-10 12:00:00
2442483,1360.9862,1975-03-11 12:00:00
2442484,1360.9827,1975-03-12 12:00:00
2442485,1360.9679,1975-03-13 12:00:00
2442486,1360.9109,1975-03-14 12:00:00
2442487,1360.9882,1975-03-15 12:00:00
2442488,1360.9068,1975-03-16 12:00:00
2442489,1360.8705,1975-03-17 12:00:00
2442490,1360.9381,1975-03-18 12:00:00
2442491,1360.9594,1975-03-19 12:00:00
2442492,1360.9792,1975-03-20 12:00:00
2442493,1360.9449,1975-03-21 12:00:00
2442494,1360.9548,1975-03-22 12:00:00
2442495,1360.9448,1975-03-23 12:00:00
2442496,1360.9447,1975-03-24 12:00:00
2442497,1360.948,1975-03-25 12:00:00
2442498,1360.94,1975-03-26 12:00:00
2442499,1360.9431,1975-03-27 12:00:00
2442500,1360.9448,1975-03-28 12:00:00
2442501,1360.9525,1975-03-29 12:00:00
2442502,1360.9645,1975-03-30 12:00:00
2442503,1360.9406,1975-03-31 12:00:00
2442504,1360.9744,1975-04-01 12:00:00
2442505,1360.9503,1975-04-02 12:00:00
2442506,1360.9867,1975-04-03 12:00:00
2442507,1361.0041,1975-04-04 12:00:00
2442508,1361.0735,1975-04-05 12:00:00
2442509,1361.0042,1975-04-06 12:00:00
2442510,1360.9981,1975-04-07 12:00:00
2442511,1360.998,1975-04-08 12:00:00
2442512,1360.9804,1975-04-09 12:00:00
2442513,1360.9933,1975-04-10 12:00:00
2442514,1360.9815,1975-04-11 12:00:00
2442515,1360.9843,1975-04-12 12:00:00
2442516,1360.9745,1975-04-13 12:00:00
2442517,1360.9646,1975-04-14 12:00:00
